X,Y,osm_id,amenity,addr:housenumber,name,tourism,shop,addr:housename,brand,religion,operator,diet:vegetarian,cuisine,addr:postcode,addr:city,addr:street,website,name:en,phone,opening_hours,email,brand:wikipedia,brand:wikidata,official_name,takeaway,name:hi,clothes,addr:unit,addr:place,alt_name,atm,payment:cash,internet_access,indoor_seating,outdoor_seating,wheelchair,addr:country,level,name:ur,name:bn,alcohol,branch,toilets:wheelchair,stars,name:ca,drink:shake,seats,smoking,brand:short
77.2206535,28.6303156,4338129371,restaurant,N-96,Barbeque Nation,,,,,,,yes,regional,110001,New Delhi,"2nd Floor, Munshi Lal Building, Connaught Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2201398,28.6306078,5305828023,car_rental,N9/1,Ctt transport office,information,,,,,,,,110001,New Delhi,middle circle,http://www.centretoursandtravel.com,Ctt transport office,01123723226,Mo-Su 08:00-20:00,dso@centretoursandtravel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2176401,28.632172,5545576298,,,Fabindia,,clothes,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2177075,28.6321974,2410180166,cafe,,Starbucks,,,A,Starbucks,,,,coffee_shop,,,,,,,,,en:Starbucks,Q37158,Starbucks Coffee,yes,,,,,,,,,,,,,,,,,,,,,,,,
77.2180195,28.6323132,4443303491,,,United Colors Of Benetton,,clothes,A,,,,,,,,,,United Colors Of Benetton,,,,,,,,यूनाइटेड कलर्स ऑफ बेनेटन,,,,,,,,,,,,,,,,,,,,,,,
77.2179816,28.6325327,5577533598,atm,,,,,A,ICICI Bank,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2179024,28.6327263,4071875072,post_office,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2179639,28.6326127,5577534202,bank,,,,,A,ICICI Bank,,,,,,,,,,,"Mo-Fr 08:00-20:00, 09:00-18:00; Sa 09:30-17:00; PH off; Sa[2,4] off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2178939,28.6327775,5545574397,,,Van Heusen,,clothes,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.2178944,28.6328187,5656398298,,,Shasha,,clothes,A,,,,,,,,,,,,,,,,,,,women,,,,,,,,,,,,,,,,,,,,,,
77.2178957,28.6328693,5656398299,,,Hidesign,,bag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.217898,28.6329141,5656398300,,,Dhoomimal Gallery,gallery,,A,,,,,,,,,www.dhoomimal.com,,,,,,,,,,,8,Connaught Place,Dhoomimal Art Centre,,,,,,,,,,,,,,,,,,,
77.2179001,28.632967,5545575717,bank,,,,,A,Punjab National Bank,,,,,,,,,,,,,,,,,,,9,Connaught Place,,yes,,,,,,,,,,,,,,,,,,
