X,Y,osm_id,highway,name,oneway,junction,surface,layer,tunnel,covered,service,bicycle,access,foot,name:hi,old_name,motorroad,incline,level,conveying,lanes,footway
77.2177443029678,28.6302776901331,570616029,secondary,Sansad Marg,yes,,,,,,,,,,संसद मार्ग,,,,,,,
77.2178457186529,28.6301278255777,570616028,secondary,Sansad Marg,yes,,,,,,,,,,संसद मार्ग,,,,,,,
77.2188715211881,28.6302832433373,488537306,footway,,,,,,,,,,,,,,,,,,,
77.2185446311678,28.6300845064424,562340241,secondary,Outer Circle,yes,roundabout,asphalt,,,,,,,,आउटर सर्किल,,,,,,,
77.2211352122053,28.6301667551121,562340245,secondary,Outer Circle,yes,,,,,,,,,,आउटर सर्किल,,,,,,,
77.2210349,28.6302466,583501521,steps,,,,,,,,,,,,,,,,,,,
77.2212400827498,28.6300699415165,583501522,footway,,,,,-1,yes,,,,,,,,,,,,,
77.2213438492422,28.6301206721683,562340243,secondary,Kasturba Gandhi Marg,yes,,asphalt,,,,,,,,कस्तूरबा गाँधी मार्ग,Curzon Road,no,,,,,
77.22148575,28.63017655,583501530,steps,,,,,,,,,,,,,,,,,,,
77.2212548442691,28.6302516898211,583501528,footway,,,,,-1,yes,,,,,,,,,,,,,
77.2171837,28.63099555,564223496,secondary,Outer Circle,yes,roundabout,,,,,,,,,आउटर सर्किल,,,,,,,
77.217858274589,28.6303677170403,562340248,secondary,Outer Circle,yes,roundabout,,,,,,,,,आउटर सर्किल,,,,,,,
77.2185751335224,28.6305740319785,488537309,footway,,,,,,,,,,,,,,,,,,,
77.21822435,28.63075605,391534135,tertiary,Way to Palika Car Parking,,,asphalt,,,,,,,,,,,,,,,
77.2180866865219,28.6315257124312,485053608,service,,,,,,,,,,,,,,,,,,,
77.2190117015821,28.6303668168675,488537313,footway,,,,,,,,,,,,,,,,,,,
77.2187764734462,28.6309457262058,164678428,footway,,,,,,,,,,,,,,,,,,,
77.219543750036,28.6308986006414,24577480,tertiary,Radial Road 1,yes,,asphalt,,,,,,,,,,,,,,,
77.21916315,28.63149335,488537316,footway,,,,,,,,,,,,,,,,,,,
77.21933035,28.6315633,164675806,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.2192444,28.6316115,164675813,footway,,,,,,,,,,,,,,,,,,,
77.219890965305,28.6315476011708,164675821,footway,,,,,-2,yes,,,,,,,,,,-1,,,
77.2201011,28.63158815,582355781,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.2173214803634,28.6317120894402,24577488,tertiary,Radial Road 2,yes,,asphalt,,,,,,,,,,,,,,,
